reference,variante,categorie
Ouédraogo,Ouedraogo,translitteration
Ouédraogo,Wedraogo,translitteration
Ouédraogo,Ouadraogo,translitteration
Ouédraogo,Ouedrago,translitteration
Ouédraogo,Wédraogo,translitteration
Sawadogo,Sawadogho,translitteration
Sawadogo,Savadogo,translitteration
Compaoré,Compaore,translitteration
Compaoré,Kompaore,translitteration
Compaoré,Compaoret,translitteration
Kaboré,Kabore,translitteration
Kaboré,Kaboret,translitteration
Zongo,Zongho,translitteration
Nikiéma,Nikiema,translitteration
Nikiéma,Nikyema,translitteration
Ilboudo,Ilboudou,translitteration
Ilboudo,Ilbudo,translitteration
Sankara,Sancara,translitteration
Tapsoba,Tapsoba,translitteration
Traoré,Traore,translitteration
Traoré,Traoret,translitteration
Konaté,Konate,translitteration
Konaté,Conate,translitteration
Coulibaly,Couliballi,translitteration
Coulibaly,Kulibali,translitteration
Coulibaly,Coulibali,translitteration
Keïta,Keita,translitteration
Keïta,Keyta,translitteration
Sissoko,Sissocko,translitteration
Sissoko,Cissoko,translitteration
Diarra,Djarra,palatalisation
Diarra,Jarra,palatalisation
Diallo,Dialo,palatalisation
Diallo,Jallo,palatalisation
Diallo,Djallo,palatalisation
Diakité,Djakite,palatalisation
Diakité,Jakite,palatalisation
Dioumassi,Djoumassi,palatalisation
Dioumassi,Joumassi,palatalisation
Diop,Djop,palatalisation
Diop,Jop,palatalisation
Dieng,Djeng,palatalisation
Cissé,Cisse,sifflante
Cissé,Sisse,sifflante
Cissé,Cise,sifflante
Cissé,Sissé,sifflante
Sy,Si,sifflante
Sy,Sih,sifflante
Sylla,Silla,sifflante
Ndiaye,Ndiay,wolof
Ndiaye,Njaye,wolof
Ndiaye,N'Diaye,wolof
Ndour,Ndure,wolof
Mbaye,Mbay,wolof
Mbaye,M'Baye,wolof
Gueye,Gaye,wolof
Gueye,Gueye,wolof
Fall,Fal,wolof
Sarr,Sar,wolof
Mohamed,Mohammed,arabe
Mohamed,Muhammad,arabe
Mohamed,Mohamad,arabe
Mohamed,Mouhamed,arabe
Mohamed,Mohammad,arabe
Mahamadou,Mahamadu,arabe
Mahamadou,Mamadou,arabe
Mahamadou,Mahamadi,arabe
Abdoulaye,Abdoulay,arabe
Abdoulaye,Abdulaye,arabe
Abdoulaye,Abdullahi,arabe
Ibrahim,Ibrahima,arabe
Ibrahim,Brahim,arabe
Ibrahim,Ibrahim,arabe
Aïcha,Aicha,arabe
Aïcha,Aisha,arabe
Aïcha,Aycha,arabe
Oumar,Omar,arabe
Oumar,Umar,arabe
Ousmane,Ousmann,arabe
Ousmane,Usman,arabe
Ousmane,Osman,arabe
Fatoumata,Fatouma,arabe
Fatoumata,Fatimata,arabe
Salifou,Salif,arabe
Salifou,Salifu,arabe
Idrissa,Idriss,arabe
Idrissa,Idrisa,arabe
El Hadj Salifou Cissé,Elhadji Salifou Cisse,honorifique
El Hadj Salifou Cissé,Alhaji Salif Sisse,honorifique
El Hadj Oumar Tall,Elhadj Omar Tal,honorifique
Cheikh Ahmadou Bamba,Cheick Amadou Bamba,honorifique
Mohamed Ould Abdel Aziz,Mohamed Ould Abdelaziz,honorifique
Ahmed Ag Mohamed,Ahmed Ag Mohammed,honorifique
Sidi Mohamed Diallo,Sidi Mohammed Jallo,honorifique
Ouédraogo Salifou,Salifou Ouedraogo,inversion
Diallo Mamadou,Mamadou Diallo,inversion
Traoré Aïcha,Aicha Traore,inversion
Konaté Ibrahim,Ibrahim Konate,inversion
Ndiaye Oumar,Oumar Ndiaye,inversion
